nest,exit_time,entry_time,duration_min
1,2024-04-29 17:04:51.133333,2024-04-29 17:13:28.133333,8.616666666666667
1,2024-04-29 17:13:30.500000,2024-04-29 17:38:10.433333,24.66555555
1,2024-04-29 18:19:25.333333,2024-04-29 18:22:45.433333,3.335
1,2024-04-29 18:41:59.933333,2024-04-30 12:11:00.333333,1049.0066666666667
1,2024-04-30 12:45:10.300000,2024-04-30 13:01:10.466667,16.002777783333332
1,2024-04-30 13:01:11.633333,2024-04-30 13:10:14.900000,9.05444445
1,2024-04-30 13:10:18.100000,2024-04-30 14:36:07.100000,85.81666666666666
1,2024-04-30 15:21:18.333333,2024-05-01 15:47:39.766667,1466.3572222333335
1,2024-05-01 15:48:49.700000,2024-05-01 15:58:05.466667,9.262777783333332
1,2024-05-01 16:43:46.966667,2024-05-01 16:45:27.366667,1.6733333333333333
1,2024-05-01 17:10:37.200000,2024-05-01 17:14:58.666667,4.357777783333333
1,2024-05-01 17:16:37.766667,2024-05-01 17:23:41.933333,7.0694444333333335
1,2024-05-01 17:24:58.233333,2024-05-01 17:27:01.666667,2.0572222333333334
1,2024-05-01 17:51:22.233333,2024-05-01 17:53:54.366667,2.5355555666666665
1,2024-05-01 18:47:08.800000,2024-05-01 18:49:02.833333,1.90055555
1,2024-05-01 18:50:43.133333,2024-05-01 18:59:44.000000,9.014444450000001
1,2024-05-01 19:00:44.633333,2024-05-01 19:02:41.500000,1.9477777833333334
1,2024-05-01 19:04:36.400000,2024-05-01 19:06:29.300000,1.8816666666666668
1,2024-05-01 19:08:08.900000,2024-05-01 19:09:49.366667,1.67444445
1,2024-05-01 19:15:58.100000,2024-05-01 19:17:39.933333,1.6972222166666666
1,2024-05-01 19:20:15.033333,2024-05-01 19:29:51.066667,9.600555566666666
1,2024-05-01 19:31:58.933333,2024-05-01 19:34:23.966667,2.4172222333333333
1,2024-05-01 19:36:34.866667,2024-05-01 19:38:53.733333,2.3144444333333336
1,2024-05-01 19:39:55.633333,2024-05-01 19:49:46.133333,9.841666666666667
1,2024-05-02 08:04:39.133333,2024-05-02 08:39:58.800000,35.32777778333333
1,2024-05-02 08:40:56.233333,2024-05-02 08:53:13.166667,12.282222233333332
1,2024-05-02 08:54:39.566667,2024-05-02 09:01:13.600000,6.567222216666667
1,2024-05-02 09:02:06.500000,2024-05-02 09:14:16.100000,12.16
1,2024-05-02 09:15:21.300000,2024-05-02 09:26:48.733333,11.457222216666667
1,2024-05-02 09:27:57.333333,2024-05-02 09:32:10.933333,4.226666666666667
1,2024-05-02 09:33:01.066667,2024-05-02 09:45:28.900000,12.463888883333334
1,2024-05-02 09:46:45.466667,2024-05-02 10:02:05.200000,15.328888883333333
1,2024-05-02 10:03:16.133333,2024-05-02 10:13:39.066667,10.382222233333332
1,2024-05-02 10:14:44.566667,2024-05-02 10:43:50.833333,29.104444433333335
1,2024-05-02 10:45:10.966667,2024-05-02 10:55:21.500000,10.17555555
1,2024-05-02 10:56:35.700000,2024-05-02 11:08:35.633333,11.998888883333333
1,2024-05-02 11:09:50.866667,2024-05-02 11:21:24.333333,11.557777766666668
1,2024-05-02 11:22:40.700000,2024-05-02 11:34:45.233333,12.075555549999999
1,2024-05-02 11:36:04.100000,2024-05-02 12:03:53.500000,27.823333333333334
1,2024-05-02 12:05:49.000000,2024-05-02 12:08:29.200000,2.67
1,2024-05-02 12:09:18.733333,2024-05-02 12:14:23.466667,5.0788889
1,2024-05-02 12:15:26.633333,2024-05-02 12:17:12.466667,1.7638889
1,2024-05-02 12:21:30.233333,2024-05-02 12:24:17.533333,2.7883333333333336
1,2024-05-02 12:25:29.866667,2024-05-02 12:26:56.666667,1.4466666666666665
1,2024-05-02 12:27:44.700000,2024-05-02 12:29:15.766667,1.5177777833333332
1,2024-05-02 12:30:07.366667,2024-05-02 12:31:45.633333,1.6377777666666666
1,2024-05-02 12:32:39.066667,2024-05-02 12:34:16.466667,1.6233333333333335
1,2024-05-02 12:37:13.566667,2024-05-02 12:43:11.966667,5.973333333333333
1,2024-05-02 12:45:07.133333,2024-05-02 12:48:19.200000,3.2011111166666666
1,2024-05-02 12:50:37.000000,2024-05-02 12:55:38.100000,5.0183333333333335
1,2024-05-02 12:57:01.033333,2024-05-02 12:58:37.700000,1.6111111166666667
1,2024-05-02 13:01:51.166667,2024-05-02 13:02:03.866667,0.21166666666666664
1,2024-05-02 13:03:06.366667,2024-05-02 13:03:19.733333,0.22277776666666668
1,2024-05-02 13:09:20.466667,2024-05-02 13:10:20.666667,1.0033333333333334
1,2024-05-02 13:10:44.033333,2024-05-02 13:13:52.766667,3.145555566666667
1,2024-05-02 13:14:15.133333,2024-05-02 13:16:03.933333,1.8133333333333332
1,2024-05-02 13:17:44.833333,2024-05-02 13:27:17.366667,9.542222233333332
1,2024-05-02 13:29:14.700000,2024-05-02 13:34:25.966667,5.187777783333333
1,2024-05-02 13:48:23.933333,2024-05-02 13:55:50.233333,7.4383333333333335
1,2024-05-02 15:53:48.866667,2024-05-02 15:57:37.933333,3.8177777666666666
1,2024-05-02 15:59:03.533333,2024-05-02 15:59:25.600000,0.36777778333333333
1,2024-05-02 16:12:12.566667,2024-05-02 16:14:10.100000,1.9588888833333333
1,2024-05-02 16:20:15.766667,2024-05-02 16:21:49.333333,1.5594444333333333
1,2024-05-02 16:27:11.133333,2024-05-02 16:28:42.766667,1.5272222333333334
1,2024-05-02 16:30:52.033333,2024-05-02 16:32:58.100000,2.1011111166666665
1,2024-05-02 16:39:28.800000,2024-05-02 16:41:07.833333,1.65055555
1,2024-05-02 16:43:10.566667,2024-05-02 16:44:50.700000,1.6688888833333333
1,2024-05-02 16:46:19.133333,2024-05-02 16:50:54.966667,4.597222233333333
1,2024-05-02 16:56:04.300000,2024-05-02 17:01:32.766667,5.474444449999999
1,2024-05-02 17:01:34.766667,2024-05-02 17:02:44.466667,1.1616666666666666
1,2024-05-02 17:04:08.566667,2024-05-02 17:09:22.500000,5.232222216666667
1,2024-05-02 17:10:42.466667,2024-05-02 17:24:30.066667,13.793333333333333
1,2024-05-02 17:25:36.400000,2024-05-02 17:33:44.333333,8.132222216666667
1,2024-05-02 17:35:01.333333,2024-05-02 18:02:34.266667,27.5488889
1,2024-05-02 18:03:54.000000,2024-05-02 18:07:43.533333,3.82555555
1,2024-05-02 18:20:41.966667,2024-05-02 18:29:40.033333,8.967777766666668
1,2024-05-02 18:30:40.433333,2024-05-02 18:34:56.033333,4.26
1,2024-05-02 18:35:53.333333,2024-05-02 18:51:12.200000,15.31444445
1,2024-05-02 18:52:20.200000,2024-05-02 19:06:15.466667,13.921111116666667
1,2024-05-02 19:07:52.300000,2024-05-02 19:25:24.100000,17.529999999999998
